unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2015M12 	2015M11 	2015M10 	2015M09 	2015M08 	2015M07 	2015M06 	2015M05 	2015M04 	2015M03 	2015M02 	2015M01 	2015 
FLIGHT,CAF_PAS_ARR,MK_LWSK_SE_ESKN	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	26 	26 	26 	8 	8 	9 	8 	9 	9 	9 	9 	8 	9 	9 	8 	103 	25 	26 	26 	26 	7 	9 	9 	8 	9 	9 	9 	9 	8 	9 	8 	9 	103 
FLIGHT,CAF_PAS_ARR,MK_LWSK_SE_ESMS	65 	53 	28 	21 	22 	22 	18 	16 	19 	64 	65 	65 	59 	21 	21 	22 	22 	22 	21 	22 	22 	21 	20 	17 	22 	253 	75 	92 	66 	52 	20 	25 	30 	30 	31 	31 	22 	22 	22 	20 	15 	17 	285 
FLIGHT,CAF_PAS_ARR,MK_LWSK_SI_LJLJ	162 	94 	58 	56 	55 	51 	36 	27 	31 	90 	99 	93 	89 	29 	30 	31 	32 	36 	31 	30 	33 	30 	31 	29 	29 	371 	90 	92 	91 	89 	29 	30 	31 	30 	31 	31 	30 	31 	30 	31 	28 	30 	362 
FLIGHT,CAF_PAS_ARR,MK_LWSK_SK_LZIB	90 	91 	35 	32 	31 	27 	33 	27 	31 	91 	93 	92 	44 	30 	30 	31 	31 	32 	30 	30 	31 	31 	44 	: 	: 	320 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_TR_LTAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68 	14 	: 	: 	: 	: 	17 	27 	24 	12 	2 	: 	: 	: 	: 	82 	: 	58 	16 	: 	: 	: 	: 	2 	30 	26 	16 	: 	: 	: 	: 	: 	74 
FLIGHT,CAF_PAS_ARR,MK_LWSK_TR_LTBA	182 	167 	62 	60 	62 	60 	62 	53 	52 	182 	182 	181 	159 	61 	59 	62 	60 	62 	60 	59 	62 	60 	61 	55 	43 	704 	165 	184 	179 	169 	49 	56 	60 	60 	62 	62 	58 	62 	59 	63 	49 	57 	697 
FLIGHT,CAF_PAS_ARR,MK_LWSK_TR_LTFJ	67 	63 	22 	24 	22 	21 	23 	18 	22 	65 	66 	65 	53 	23 	20 	22 	22 	22 	22 	21 	23 	21 	19 	16 	18 	249 	50 	75 	66 	40 	17 	13 	20 	23 	28 	24 	24 	22 	20 	14 	13 	13 	231 
FLIGHT,CAF_PAS_ARR,MK_LWSK_UK_EGGW	65 	42 	22 	21 	22 	22 	15 	12 	15 	52 	63 	54 	54 	19 	14 	19 	19 	22 	22 	19 	18 	17 	19 	16 	19 	223 	53 	66 	65 	48 	16 	16 	21 	22 	22 	22 	21 	22 	22 	18 	15 	15 	232 
FLIGHT,CAF_PAS_DEP,MK_LWSK_AE_OMDB	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	26 	26 	25 	9 	8 	9 	9 	9 	8 	9 	9 	8 	9 	9 	7 	103 	27 	36 	33 	27 	9 	9 	9 	9 	14 	13 	13 	11 	9 	9 	8 	10 	123 
FLIGHT,CAF_PAS_DEP,MK_LWSK_AT_LOWW	147 	124 	58 	53 	49 	45 	46 	33 	45 	144 	158 	145 	132 	47 	46 	51 	52 	53 	53 	50 	48 	47 	46 	42 	44 	579 	137 	156 	151 	141 	41 	45 	51 	50 	53 	53 	48 	52 	51 	49 	44 	48 	585 
FLIGHT,CAF_PAS_DEP,MK_LWSK_BE_EBCI	26 	26 	10 	9 	9 	8 	9 	8 	9 	26 	26 	26 	26 	8 	8 	10 	8 	9 	9 	8 	9 	9 	8 	9 	9 	104 	25 	26 	26 	25 	7 	9 	9 	8 	9 	9 	9 	9 	8 	9 	8 	8 	102 
FLIGHT,CAF_PAS_DEP,MK_LWSK_CH_LSZH	120 	109 	49 	35 	40 	45 	38 	30 	41 	123 	160 	115 	122 	41 	38 	44 	43 	60 	57 	36 	40 	39 	39 	38 	45 	520 	149 	160 	121 	82 	58 	41 	50 	50 	56 	54 	38 	44 	39 	27 	24 	31 	512 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDDB	39 	25 	13 	13 	13 	13 	9 	8 	8 	27 	26 	26 	3 	9 	8 	10 	8 	9 	9 	8 	9 	9 	3 	: 	: 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDDH	26 	25 	9 	8 	9 	9 	8 	8 	9 	24 	27 	21 	: 	7 	9 	8 	9 	9 	9 	8 	9 	4 	: 	: 	: 	72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDDK	39 	28 	13 	13 	13 	13 	9 	8 	11 	38 	40 	39 	29 	14 	12 	12 	13 	14 	13 	13 	13 	13 	11 	8 	10 	146 	31 	39 	27 	27 	10 	8 	13 	13 	13 	13 	9 	9 	9 	10 	8 	9 	124 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDDN	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	26 	26 	26 	9 	8 	9 	9 	8 	9 	9 	9 	8 	9 	8 	9 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDFH	39 	27 	13 	13 	13 	13 	9 	8 	10 	29 	37 	28 	29 	11 	8 	10 	11 	13 	13 	10 	9 	9 	11 	8 	10 	123 	25 	37 	26 	25 	8 	8 	9 	11 	13 	13 	9 	9 	8 	9 	8 	8 	113 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDJA	26 	35 	11 	9 	8 	9 	10 	12 	13 	40 	39 	39 	39 	14 	13 	13 	13 	13 	13 	13 	13 	13 	14 	12 	13 	157 	40 	39 	39 	39 	14 	12 	14 	13 	13 	13 	13 	13 	13 	13 	12 	14 	157 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDLW	39 	38 	13 	13 	13 	13 	13 	12 	13 	37 	40 	39 	39 	12 	12 	13 	13 	14 	13 	13 	13 	13 	14 	12 	13 	155 	37 	39 	39 	38 	11 	12 	14 	13 	13 	13 	13 	13 	13 	13 	12 	13 	153 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DE_EDNY	26 	25 	10 	8 	9 	9 	9 	7 	9 	25 	26 	26 	27 	7 	9 	9 	8 	9 	9 	9 	9 	8 	9 	9 	9 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_DK_EKCH	26 	26 	11 	9 	9 	8 	9 	8 	9 	24 	26 	27 	3 	7 	9 	8 	8 	9 	9 	10 	9 	8 	3 	: 	: 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_ES_LEBL	: 	: 	: 	: 	: 	: 	: 	: 	: 	24 	27 	26 	26 	7 	8 	9 	9 	9 	9 	8 	9 	9 	9 	8 	9 	103 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_FR_LFOB	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	27 	26 	26 	7 	9 	9 	9 	9 	9 	8 	9 	9 	9 	8 	9 	104 	25 	37 	26 	26 	8 	8 	9 	11 	13 	13 	9 	9 	8 	9 	8 	9 	114 
FLIGHT,CAF_PAS_DEP,MK_LWSK_FR_LFSB	65 	67 	28 	21 	22 	22 	22 	19 	26 	66 	74 	65 	56 	22 	22 	22 	21 	24 	29 	22 	22 	21 	20 	17 	19 	261 	63 	65 	65 	54 	19 	22 	22 	21 	22 	22 	21 	22 	22 	19 	16 	19 	247 
FLIGHT,CAF_PAS_DEP,MK_LWSK_HR_LDZA	103 	86 	35 	35 	36 	32 	33 	24 	29 	93 	105 	104 	86 	29 	29 	35 	35 	35 	35 	34 	36 	34 	31 	27 	28 	388 	89 	105 	102 	90 	26 	31 	32 	34 	35 	36 	34 	35 	33 	32 	28 	30 	386 
FLIGHT,CAF_PAS_DEP,MK_LWSK_IT_LIME	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	25 	26 	27 	7 	9 	9 	8 	9 	8 	8 	9 	9 	9 	8 	10 	103 	28 	37 	26 	26 	11 	8 	9 	11 	13 	13 	9 	9 	8 	9 	8 	9 	117 
FLIGHT,CAF_PAS_DEP,MK_LWSK_IT_LIPH	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	27 	26 	25 	9 	9 	8 	9 	9 	9 	8 	9 	9 	8 	8 	9 	104 	26 	27 	26 	26 	9 	9 	8 	9 	9 	9 	8 	9 	9 	9 	8 	9 	105 
FLIGHT,CAF_PAS_DEP,MK_LWSK_IT_LIRF	: 	: 	: 	: 	: 	: 	: 	: 	: 	63 	91 	91 	77 	: 	31 	32 	29 	32 	30 	29 	32 	30 	27 	25 	25 	322 	78 	92 	91 	73 	25 	24 	29 	31 	31 	30 	31 	31 	29 	27 	21 	25 	334 
FLIGHT,CAF_PAS_DEP,MK_LWSK_NL_EHEH	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	26 	22 	26 	8 	8 	9 	9 	8 	9 	5 	9 	8 	9 	8 	9 	99 	24 	27 	26 	25 	7 	9 	8 	9 	9 	9 	8 	9 	9 	9 	8 	8 	102 
FLIGHT,CAF_PAS_DEP,MK_LWSK_NO_ENTO	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	27 	26 	25 	9 	9 	8 	9 	9 	9 	8 	9 	9 	8 	9 	8 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_RS_LYBE	110 	87 	62 	49 	31 	30 	29 	27 	31 	92 	171 	108 	79 	31 	30 	31 	48 	61 	62 	47 	31 	30 	31 	23 	25 	450 	89 	167 	107 	87 	29 	29 	31 	43 	62 	62 	46 	31 	30 	30 	28 	29 	450 
FLIGHT,CAF_PAS_DEP,MK_LWSK_SE_ESGG	39 	38 	16 	13 	13 	13 	13 	12 	13 	40 	39 	39 	29 	14 	13 	13 	13 	13 	13 	13 	13 	13 	10 	8 	11 	147 	42 	53 	39 	30 	13 	13 	16 	17 	18 	18 	13 	13 	13 	11 	8 	11 	164 
FLIGHT,CAF_PAS_DEP,MK_LWSK_SE_ESKN	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	26 	26 	26 	8 	8 	9 	8 	9 	9 	9 	9 	8 	9 	9 	8 	103 	25 	26 	26 	26 	7 	9 	9 	8 	9 	9 	9 	9 	8 	9 	8 	9 	103 
FLIGHT,CAF_PAS_DEP,MK_LWSK_SE_ESMS	64 	52 	28 	21 	22 	21 	17 	16 	19 	64 	65 	65 	59 	21 	21 	22 	22 	22 	21 	22 	22 	21 	20 	17 	22 	253 	78 	92 	66 	54 	22 	26 	30 	30 	31 	31 	22 	22 	22 	20 	16 	18 	290 
FLIGHT,CAF_PAS_DEP,MK_LWSK_SI_LJLJ	162 	93 	58 	55 	56 	51 	35 	27 	31 	91 	99 	93 	90 	29 	31 	31 	33 	35 	31 	30 	33 	30 	31 	29 	30 	373 	89 	92 	91 	90 	29 	30 	30 	30 	31 	31 	30 	31 	30 	31 	29 	30 	362 
FLIGHT,CAF_PAS_DEP,MK_LWSK_SK_LZIB	89 	91 	35 	31 	31 	27 	33 	27 	31 	89 	93 	90 	: 	28 	30 	31 	31 	32 	30 	30 	29 	31 	: 	: 	: 	272 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_DEP,MK_LWSK_TR_LTAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69 	15 	: 	: 	: 	: 	19 	26 	24 	12 	3 	: 	: 	: 	: 	84 	: 	58 	17 	: 	: 	: 	: 	2 	30 	26 	17 	: 	: 	: 	: 	: 	75 
FLIGHT,CAF_PAS_DEP,MK_LWSK_TR_LTBA	182 	166 	62 	60 	62 	60 	61 	53 	52 	182 	181 	180 	163 	61 	59 	62 	60 	62 	59 	59 	62 	59 	61 	55 	47 	706 	165 	184 	179 	169 	49 	56 	60 	60 	62 	62 	58 	62 	59 	62 	50 	57 	697 
FLIGHT,CAF_PAS_DEP,MK_LWSK_TR_LTFJ	65 	61 	22 	22 	22 	21 	23 	18 	20 	65 	69 	65 	53 	23 	20 	22 	25 	22 	22 	21 	23 	21 	19 	16 	18 	252 	50 	69 	65 	40 	17 	13 	20 	23 	22 	24 	23 	22 	20 	14 	12 	14 	224 
FLIGHT,CAF_PAS_DEP,MK_LWSK_UK_EGGW	65 	42 	22 	21 	22 	22 	15 	12 	15 	55 	63 	54 	55 	19 	17 	19 	19 	22 	22 	19 	18 	17 	20 	16 	19 	227 	55 	66 	65 	48 	17 	17 	21 	22 	22 	22 	21 	22 	22 	18 	15 	15 	234 
PAS,PAS_BRD,MK_LWSK_AE_OMDB	: 	: 	: 	: 	: 	: 	: 	: 	: 	5917 	6781 	5825 	4737 	2095 	1781 	2041 	2185 	2449 	2147 	1897 	1967 	1961 	1636 	1723 	1378 	23260 	5433 	8338 	6801 	5869 	1627 	1796 	2010 	1984 	3326 	3028 	2580 	2071 	2150 	2046 	1686 	2137 	26441 
PAS,PAS_BRD,MK_LWSK_AT_LOWW	31890 	17779 	15323 	12012 	10148 	9730 	6959 	4872 	5948 	23331 	36980 	26522 	16332 	6764 	7021 	9546 	10746 	12942 	13292 	10077 	8797 	7648 	6271 	5031 	5030 	103165 	20803 	34732 	25122 	17329 	5810 	6626 	8367 	9661 	12835 	12236 	8841 	8440 	7841 	6778 	5180 	5371 	97986 
PAS,PAS_BRD,MK_LWSK_BE_EBCI	8807 	8509 	3434 	3034 	3000 	2773 	2931 	2570 	3008 	8587 	8660 	8586 	8111 	2713 	2583 	3291 	2577 	3084 	2999 	2672 	2981 	2933 	2595 	2858 	2658 	33944 	7754 	8420 	8084 	7678 	1990 	2816 	2948 	2644 	2927 	2849 	2707 	2793 	2584 	2766 	2441 	2471 	31936 
PAS,PAS_BRD,MK_LWSK_CH_LSZH	41069 	34931 	17126 	11625 	13502 	15942 	12088 	9729 	13114 	38761 	50361 	40184 	38519 	13378 	11125 	14258 	13518 	18118 	18725 	11783 	13971 	14430 	12762 	12116 	13641 	167825 	41434 	43509 	34049 	21865 	15658 	11618 	14158 	13551 	15575 	14383 	10014 	12235 	11800 	7344 	6578 	7943 	140857 
PAS,PAS_BRD,MK_LWSK_DE_EDDB	12660 	8152 	4488 	4188 	4173 	4299 	2822 	2641 	2689 	8674 	8957 	8397 	976 	3030 	2467 	3177 	2714 	3130 	3113 	2618 	2989 	2790 	976 	: 	: 	27004 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_DE_EDDH	8741 	8098 	3192 	2665 	3038 	3038 	2547 	2604 	2947 	7539 	9269 	7174 	: 	2316 	2588 	2635 	3098 	3168 	3003 	2793 	3085 	1296 	: 	: 	: 	23982 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_DE_EDDK	13060 	9343 	4550 	4408 	4409 	4243 	2973 	2656 	3714 	12628 	13435 	13091 	9128 	4769 	3960 	3899 	4345 	4701 	4389 	4377 	4406 	4308 	3626 	2498 	3004 	48282 	10223 	12783 	8613 	7933 	3485 	2528 	4210 	4213 	4324 	4246 	2919 	2870 	2824 	2839 	2413 	2681 	39552 
PAS,PAS_BRD,MK_LWSK_DE_EDDN	: 	: 	: 	: 	: 	: 	: 	: 	: 	8111 	8684 	8179 	7673 	2977 	2372 	2762 	2929 	2718 	3037 	2786 	2908 	2485 	2707 	2369 	2597 	32647 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_DE_EDFH	12952 	8724 	4351 	4301 	4288 	4363 	2893 	2585 	3246 	9355 	12393 	9199 	8958 	3667 	2434 	3254 	3621 	4426 	4346 	3311 	3034 	2854 	3610 	2416 	2932 	39905 	7751 	11818 	8225 	7432 	2747 	2213 	2791 	3363 	4280 	4175 	2876 	2893 	2456 	2726 	2434 	2272 	35226 
PAS,PAS_BRD,MK_LWSK_DE_EDJA	8854 	11603 	3942 	3092 	2691 	3071 	3288 	3908 	4407 	12735 	13431 	13139 	12361 	4570 	3898 	4267 	4307 	4613 	4511 	4339 	4495 	4305 	4615 	3776 	3970 	51666 	12202 	13288 	12691 	12324 	4398 	3509 	4295 	4276 	4501 	4511 	4278 	4216 	4197 	4121 	3854 	4349 	50505 
PAS,PAS_BRD,MK_LWSK_DE_EDLW	13121 	12459 	4600 	4267 	4402 	4452 	4272 	3869 	4318 	12145 	13620 	12829 	12276 	4042 	3838 	4265 	4350 	4802 	4468 	4283 	4421 	4125 	4551 	3738 	3987 	50870 	12225 	12945 	12600 	11632 	3993 	3801 	4431 	4202 	4395 	4348 	4276 	4225 	4099 	4101 	3647 	3884 	49402 
PAS,PAS_BRD,MK_LWSK_DE_EDNY	8714 	7998 	3377 	2667 	2996 	3051 	2741 	2377 	2880 	7887 	8300 	8470 	8296 	2325 	2630 	2932 	2504 	2942 	2854 	2777 	3030 	2663 	2936 	2782 	2578 	32953 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_DK_EKCH	8427 	8040 	3596 	2806 	2942 	2679 	2892 	2513 	2635 	7064 	8454 	7992 	919 	2135 	2344 	2585 	2494 	2873 	3087 	2676 	2829 	2487 	919 	: 	: 	24429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_ES_LEBL	: 	: 	: 	: 	: 	: 	: 	: 	: 	7104 	8847 	7924 	7280 	2008 	2400 	2696 	2910 	2950 	2987 	2583 	2706 	2635 	2675 	2172 	2433 	31155 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_FR_LFOB	: 	: 	: 	: 	: 	: 	: 	: 	: 	7273 	8132 	8033 	7326 	2050 	2477 	2746 	2578 	2883 	2671 	2483 	2748 	2802 	2676 	2226 	2424 	30764 	7026 	11085 	7968 	7146 	2326 	2015 	2685 	3238 	4052 	3795 	2788 	2769 	2411 	2469 	2299 	2378 	33225 
PAS,PAS_BRD,MK_LWSK_FR_LFSB	21673 	21267 	9066 	7101 	7297 	7275 	7317 	6077 	7873 	21058 	22341 	21447 	17655 	7242 	6760 	7056 	6749 	7348 	8244 	6963 	7682 	6802 	6438 	5359 	5858 	82501 	18981 	20868 	20545 	16798 	5881 	6482 	6618 	6811 	7176 	6881 	6748 	6832 	6965 	6009 	5004 	5785 	77192 
PAS,PAS_BRD,MK_LWSK_HR_LDZA	13220 	9304 	6050 	4892 	4494 	3834 	3854 	2693 	2757 	11623 	16928 	12373 	8643 	3318 	3645 	4660 	4755 	6095 	6078 	4113 	4332 	3928 	3438 	2594 	2611 	49567 	11054 	15653 	11661 	8087 	3154 	3573 	4327 	4343 	5862 	5448 	3815 	4058 	3788 	3331 	2415 	2341 	46455 
PAS,PAS_BRD,MK_LWSK_IT_LIME	: 	: 	: 	: 	: 	: 	: 	: 	: 	7601 	8233 	8291 	7998 	2167 	2639 	2795 	2608 	2950 	2675 	2660 	2935 	2696 	2729 	2380 	2889 	32123 	8730 	11821 	8081 	7399 	3538 	2408 	2784 	3436 	4226 	4159 	2823 	2783 	2475 	2581 	2292 	2526 	36031 
PAS,PAS_BRD,MK_LWSK_IT_LIPH	: 	: 	: 	: 	: 	: 	: 	: 	: 	7785 	8765 	8073 	7294 	2810 	2577 	2398 	2823 	2921 	3021 	2604 	2789 	2680 	2351 	2311 	2632 	31917 	7754 	8679 	7670 	7335 	2762 	2607 	2385 	2781 	2935 	2963 	2448 	2656 	2566 	2580 	2278 	2477 	31438 
PAS,PAS_BRD,MK_LWSK_IT_LIRF	: 	: 	: 	: 	: 	: 	: 	: 	: 	7180 	12696 	12747 	9001 	: 	3156 	4024 	3774 	4533 	4389 	4081 	4463 	4203 	3289 	2745 	2967 	41624 	9351 	13314 	12756 	7979 	2869 	2727 	3755 	4132 	4656 	4526 	4496 	4237 	4023 	3221 	2142 	2616 	43400 
PAS,PAS_BRD,MK_LWSK_NL_EHEH	: 	: 	: 	: 	: 	: 	: 	: 	: 	7653 	8595 	7294 	8258 	2631 	2270 	2752 	2872 	2662 	3061 	1625 	3013 	2656 	2923 	2534 	2801 	31800 	7964 	8830 	8193 	7399 	2619 	2825 	2520 	2897 	2960 	2973 	2509 	2865 	2819 	2576 	2382 	2441 	32386 
PAS,PAS_BRD,MK_LWSK_NO_ENTO	: 	: 	: 	: 	: 	: 	: 	: 	: 	7599 	8237 	7704 	6921 	2632 	2490 	2477 	2801 	2511 	2925 	2163 	2800 	2741 	2347 	2397 	2177 	30461 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_RS_LYBE	11869 	8516 	6223 	5417 	3277 	3175 	2936 	2507 	3073 	10062 	19737 	12523 	6629 	3317 	2958 	3787 	5196 	6985 	7556 	5669 	3576 	3278 	2708 	2113 	1808 	48951 	8451 	18530 	11813 	9181 	2319 	2627 	3505 	4543 	7061 	6926 	4985 	3510 	3318 	3262 	3144 	2775 	47975 
PAS,PAS_BRD,MK_LWSK_SE_ESGG	12364 	11702 	5375 	3845 	4247 	4272 	4131 	3754 	3817 	12269 	12429 	12205 	9137 	4503 	3748 	4018 	4021 	4037 	4371 	3916 	4246 	4043 	3213 	2580 	3344 	46040 	12635 	16413 	11962 	9348 	4100 	3702 	4833 	5302 	5380 	5731 	3825 	4041 	4096 	3529 	2548 	3271 	50358 
PAS,PAS_BRD,MK_LWSK_SE_ESKN	: 	: 	: 	: 	: 	: 	: 	: 	: 	7190 	8298 	7977 	7337 	2353 	2213 	2624 	2472 	2814 	3012 	2787 	2856 	2334 	2773 	2517 	2047 	30802 	6820 	8221 	7298 	6995 	1984 	2268 	2568 	2448 	2801 	2972 	2598 	2520 	2180 	2513 	2221 	2261 	29334 
PAS,PAS_BRD,MK_LWSK_SE_ESMS	20363 	16714 	9147 	6071 	7164 	7128 	5695 	5161 	5858 	20021 	20764 	20251 	18609 	6926 	6166 	6929 	6850 	6800 	7114 	6673 	7025 	6553 	6610 	5521 	6478 	79645 	23175 	28722 	19928 	16321 	6603 	7192 	9380 	9507 	9365 	9850 	6417 	6727 	6784 	6227 	4874 	5220 	88146 
PAS,PAS_BRD,MK_LWSK_SI_LJLJ	14774 	10577 	6208 	4612 	4867 	5295 	4004 	3142 	3431 	11110 	11646 	10595 	9262 	3588 	3609 	3913 	3645 	4130 	3871 	3331 	4242 	3022 	3298 	3045 	2919 	42613 	11441 	13158 	12001 	8520 	3282 	3817 	4342 	4118 	4701 	4339 	3695 	4163 	4143 	3252 	2576 	2692 	45120 
PAS,PAS_BRD,MK_LWSK_SK_LZIB	8426 	8110 	4646 	2942 	2862 	2622 	3104 	2126 	2880 	7835 	8785 	7881 	259 	2616 	2436 	2783 	2952 	2928 	2905 	2533 	2758 	2590 	259 	0 	0 	24760 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PAS,PAS_BRD,MK_LWSK_TR_LTAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19223 	3828 	: 	: 	: 	: 	4306 	8193 	6724 	3284 	544 	: 	: 	: 	: 	23051 	: 	21341 	3466 	0 	: 	: 	: 	4490 	9616 	7235 	3466 	: 	: 	0 	0 	: 	24807 
PAS,PAS_BRD,MK_LWSK_TR_LTBA	41094 	27960 	16617 	13351 	14611 	13132 	10842 	8655 	8463 	34621 	42402 	38998 	28336 	10157 	10870 	13594 	14610 	14497 	13295 	11877 	14796 	12325 	10904 	9189 	8243 	144357 	30556 	42105 	37272 	30590 	8785 	10177 	11594 	13442 	15001 	13662 	11984 	13245 	12043 	11288 	9062 	10240 	140523 
PAS,PAS_BRD,MK_LWSK_TR_LTFJ	19530 	14848 	7047 	6536 	6842 	6152 	5428 	4423 	4997 	13964 	18920 	17980 	11661 	4232 	3978 	5754 	6723 	6531 	5666 	5633 	7059 	5288 	3721 	3648 	4292 	62525 	13496 	20712 	18038 	8965 	4358 	3679 	5459 	6646 	7769 	6297 	6408 	6530 	5100 	2984 	2917 	3064 	61211 
PAS,PAS_BRD,MK_LWSK_UK_EGGW	20641 	13571 	6381 	6596 	6875 	7170 	4829 	3969 	4773 	16840 	19608 	17632 	16983 	6054 	4760 	6026 	5803 	7071 	6734 	6259 	5898 	5475 	6274 	5071 	5638 	71063 	17008 	20810 	20288 	14663 	5317 	4982 	6709 	6839 	7375 	6596 	6571 	6954 	6763 	5440 	4564 	4659 	72769 
PAS,PAS_BRD_ARR,MK_LWSK_AE_OMDB	: 	: 	: 	: 	: 	: 	: 	: 	: 	2546 	2947 	3586 	2398 	1053 	786 	707 	734 	1023 	1190 	1218 	1259 	1109 	865 	824 	709 	11477 	2095 	3503 	4361 	2935 	739 	745 	611 	553 	1053 	1897 	1715 	1476 	1170 	1124 	750 	1061 	12894 
PAS,PAS_BRD_ARR,MK_LWSK_AT_LOWW	17881 	8604 	9677 	7033 	5494 	5354 	3599 	2511 	2494 	11904 	17486 	14921 	8205 	3938 	3500 	4466 	4534 	4354 	8598 	6038 	4929 	3954 	3446 	2651 	2108 	52516 	10651 	16753 	13696 	8754 	3331 	3329 	3991 	4110 	4317 	8326 	5112 	4476 	4108 	3695 	2679 	2380 	49854 
PAS,PAS_BRD_ARR,MK_LWSK_BE_EBCI	4480 	4225 	1837 	1588 	1503 	1389 	1490 	1271 	1464 	4233 	4253 	4384 	3971 	1362 	1241 	1630 	1154 	1429 	1670 	1434 	1460 	1490 	1354 	1420 	1197 	16841 	3710 	4133 	4105 	3780 	872 	1384 	1454 	1227 	1279 	1627 	1456 	1348 	1301 	1374 	1220 	1186 	15728 
PAS,PAS_BRD_ARR,MK_LWSK_CH_LSZH	20122 	16250 	9843 	5754 	6252 	8116 	5898 	4705 	5647 	18188 	24076 	19209 	18430 	6984 	4731 	6473 	6054 	7009 	11013 	5688 	6358 	7163 	6458 	5836 	6136 	79903 	19426 	21085 	16733 	10593 	8056 	5061 	6309 	6137 	6002 	8946 	5139 	5653 	5941 	3764 	3227 	3602 	67837 
PAS,PAS_BRD_ARR,MK_LWSK_DE_EDDB	6235 	4024 	2379 	2089 	2010 	2136 	1355 	1334 	1335 	4146 	4451 	4107 	489 	1505 	1138 	1503 	1297 	1506 	1648 	1298 	1475 	1334 	489 	: 	: 	13193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
